"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116"
"z.19",1.3809417295142e-189,3.03180899735442e-176,1.08274538864668e-180,6.2899742760114e-203,5.94387157167386e-243,9.8834008919882e-301,1.63941924373412e-288,5.85483329510762e-293,3.40123829528105e-315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01537963085677e-249,3.18392512476223e-165,1.62403455790777e-98,1.34749048736146e-49,1.81867112170579e-18,3.99282848231131e-05,1.42595283233607e-09,8.28376341127098e-32,7.82795345197421e-72,1.20328029175042e-129,3.00873122924567e-205,1.22376493590866e-298,0,0,5.1378144468617e-228,5.75356892358558e-148,1.04807954632769e-85,3.10562627607273e-41,1.49693230417871e-14,1.17368931275311e-05,1.49693230417871e-14,3.10562627606821e-41,1.04807954632655e-85,2.64425483899278e-76,3.56887856293784e-45,7.83534736211223e-32,1.68689655183818e-33,1.68689655183757e-33,7.83534736211223e-32,3.56887856293784e-45,2.64425483899278e-76,8.8742561791884e-62,1.52759924509184e-39,4.27744990228362e-35,1.53844461721152e-34,1.96214400239368e-43,4.07078259601804e-70,1.37379826069416e-114,7.54164415067369e-177,6.73452752284586e-257,2.19459323282502e-310,3.9977070065215e-248,1.18458412502956e-203,5.70977344388136e-177,4.47682239912767e-168,5.7097734438772e-177,1.18458412502783e-203,3.99770700651277e-248,2.1945932328186e-310,0,0,0,0,0,0
"z.20",8.54025908604685e-124,1.87498384496813e-110,6.69610161358376e-115,3.88995486294739e-137,3.67591203244622e-177,2.81949149247759e-215,6.19009440598551e-202,2.21065910788474e-206,1.28423441627446e-228,1.21357005661705e-268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51937037652423e-267,1.41713862014152e-182,7.22844288817073e-116,5.99756820618026e-67,8.09475406271638e-36,1.77717478400406e-22,6.34679758480356e-27,3.68703427066428e-49,3.48415704477071e-89,5.35570060687913e-147,1.33916127280422e-222,5.44687606973484e-316,0,2.02566914794911e-322,1.39617371642819e-224,1.56350171650807e-144,2.84810035559484e-82,8.43937402673239e-38,4.06783382308254e-11,0.0318943820697827,4.06783382308254e-11,8.43937402672011e-38,2.84810035559173e-82,1.9277079754327e-114,2.60177482430045e-83,5.71210511842444e-70,1.22977705807925e-71,1.22977705807881e-71,5.71210511842444e-70,2.60177482430045e-83,1.39131382185152e-77,1.47232793370241e-37,2.53444006420054e-15,7.09671757156869e-11,2.5524336221966e-10,3.2553933156064e-19,6.75383582254792e-46,2.27926883521273e-90,1.25123425838444e-152,1.11732553038383e-232,0,0,2.31675837724408e-283,1.11669278515343e-256,8.75557554542967e-248,1.11669278515262e-256,2.31675837724071e-283,0,0,0,0,0,0,0,0
"z.21",1.50893108295554e-73,3.31280512125717e-60,1.18309711187489e-64,6.87294582618145e-87,6.49476540241107e-127,3.04145012046935e-144,6.67739676712321e-131,2.38468866741797e-135,1.38533311077897e-157,1.30910584576812e-197,2.01230279879857e-255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74685299823195e-300,1.80204025108782e-215,9.19172256830622e-149,7.62653643233722e-100,1.029332800359e-68,2.25986396000823e-55,8.07061818143155e-60,4.68845042287658e-82,4.4304707715615e-122,6.81033452140896e-180,1.70288388305316e-255,0,0,7.70742407512345e-322,5.29608538725391e-224,5.93080824850973e-144,1.08036575228526e-81,3.20129543584961e-37,1.54304546882026e-10,0.120984494141175,1.54304546882026e-10,3.20129543584495e-37,1.08036575228408e-81,5.9308082485011e-144,5.41888967768281e-137,1.18969816968661e-123,2.56133856920865e-125,2.56133856920772e-125,1.18969816968661e-123,1.01372212394609e-126,6.59478066205058e-69,6.97878482401349e-29,1.20131605551603e-06,0.033638202302004,0.120984494141152,1.54304546881882e-10,3.2012954358443e-37,1.08036575228386e-81,5.93080824849988e-144,5.29608538725283e-224,7.70742407512345e-322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"z.22",7.61676277277177e-39,1.67223347746377e-25,5.97202227463688e-30,3.46931669043485e-52,3.27841926604598e-92,9.37331634376206e-89,2.05787863591205e-75,7.34927103050558e-80,4.26939945568315e-102,4.03447787529695e-142,6.20163078974515e-200,1.55068111372708e-275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5466527720539e-264,3.33927147273359e-197,2.77065319966026e-148,3.73947497941201e-117,8.20988579434989e-104,2.93198416948583e-108,1.70327255115604e-130,1.60955082666094e-170,2.47413426788232e-228,4.95744608853247e-303,0,0,0,7.17187812325908e-231,8.03141014929639e-151,1.46301483782356e-88,4.33514549401245e-44,2.08956865908165e-17,1.63835358257803e-08,2.08956865908165e-17,4.33514549400614e-44,1.46301483782196e-88,8.03141014928471e-151,3.22443463737855e-206,7.07913283815685e-193,1.52408875098959e-194,1.52408875098904e-194,7.07913283815685e-193,1.37276705184984e-133,8.93055147329986e-76,9.45056405750986e-36,1.62680389527186e-13,4.55523409377366e-09,1.63835358257805e-08,2.08956865908013e-17,4.33514549400614e-44,1.46301483782196e-88,8.03141014928471e-151,7.17187812325908e-231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"z.23",1.09843438705443e-19,2.41157406319139e-06,8.61241819184159e-11,5.00319737668385e-33,4.72789954234536e-73,8.25293674488029e-49,1.81190323552082e-35,6.47082278153434e-40,3.7590840161741e-62,3.55224228888887e-102,5.46035839886382e-160,1.3653303349339e-235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71333970361566e-316,3.46584561430715e-261,2.87567402627127e-212,3.88121872181802e-181,8.52107919546206e-168,3.04312110784696e-172,9.0843417378156e-179,4.21952211559048e-177,1.92192653729565e-190,1.42399452847873e-221,1.71623944377415e-270,0,0,2.77468373828515e-253,3.10722278791658e-173,5.66016796383346e-111,1.67719772960536e-66,8.08420343840068e-40,6.33852523008952e-31,8.08420343840068e-40,1.67719772960292e-66,5.66016796382729e-111,3.10722278791206e-173,2.77468373828515e-253,1.20344430545785e-277,2.59093305680691e-279,2.59093305680597e-279,1.32798761724848e-231,5.31101386520843e-156,3.45508603478934e-98,3.65627049948789e-58,6.29384135649334e-36,1.76234645191269e-31,6.3385252300896e-31,8.0842034383948e-40,1.67719772960292e-66,5.66016796382729e-111,3.10722278791206e-173,2.77468373828515e-253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"z.24",4.52564492608419e-16,0.0099358942614909,3.54839097815788e-07,2.06136070473048e-29,1.5381474209537e-55,2.07599557967452e-24,4.55777527929392e-11,1.62771143249775e-15,9.45583619799784e-38,8.93553351689131e-78,1.37353287077015e-135,3.43443773742315e-211,1.39691589490033e-304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46783513729757e-269,1.55330497028602e-229,1.61190668290774e-204,1.33520924616566e-155,1.80209546576536e-124,3.9564372126848e-111,8.51793798436174e-113,8.5179379843602e-113,3.95643721268444e-111,1.80209546576536e-124,1.33520924616457e-155,1.6092328503591e-204,3.15490632813256e-271,0,3.06687971562388e-291,3.43443773742487e-211,6.25622807954085e-149,1.85381981558595e-104,8.93553351688684e-78,7.00602169065437e-69,8.93553351688684e-78,1.85381981558325e-104,6.25622807953402e-149,3.43443773741987e-211,3.06687971562388e-291,0,0,0,1.4678351372961e-269,5.8703053136685e-194,3.81893371472298e-136,4.0413044827385e-96,6.95663225442538e-74,1.94793536672153e-69,7.00602169065446e-69,8.93553351688034e-78,1.85381981558325e-104,6.25622807953402e-149,3.43443773741987e-211,3.06687971562388e-291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"z.25",5.32708344491871e-28,1.16954243417961e-14,4.17676931013657e-19,2.42640345487224e-41,1.10539764663835e-46,1.49192502418331e-15,0.0327546891735136,1.16976328951211e-06,6.79548587987996e-29,6.42156765110695e-69,9.87096543703442e-127,2.4681765484609e-202,1.00390087565022e-295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69020995884161e-256,2.40067023318655e-198,2.54045765118538e-158,4.37310024838156e-136,3.57678641746046e-105,4.82749097448724e-74,1.05985866443816e-60,2.28180301886972e-62,2.28180301886931e-62,1.05985866443806e-60,4.82749097448724e-74,3.57678641745754e-105,4.31084657196979e-154,8.45142896907753e-221,2.69522947009372e-305,0,1.08452999466093e-264,1.97559761580928e-202,5.85400973437718e-158,2.82167121906482e-131,2.21236815096752e-122,2.82167121906482e-131,5.85400973436866e-158,1.97559761580713e-202,1.08452999465935e-264,0,0,0,0,4.94065645841247e-323,1.85373056006091e-247,1.20594649776485e-189,1.27616694905463e-149,2.19677190811646e-127,6.15120871125284e-123,2.21236815096755e-122,2.82167121906276e-131,5.85400973436866e-158,1.97559761580713e-202,1.08452999465935e-264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"z.26",1.79143555092435e-55,3.93303374457638e-42,1.40459842755525e-46,8.15970963265082e-69,2.26956055952088e-53,3.06316392381147e-22,6.72506865865379e-09,2.40171365836161e-13,1.3952234096625e-35,1.31845193587749e-75,2.02666921794313e-133,5.06756655883666e-209,2.06117123550349e-302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31147190724833e-276,1.72428468318828e-200,1.12173533718635e-142,1.18705229921457e-102,2.04337147762135e-80,2.73741257506923e-70,3.69460329355248e-39,8.11137158624984e-26,1.74632267430588e-27,1.74632267430556e-27,8.1113715862491e-26,3.69460329355248e-39,2.73740685339676e-70,3.29920201342079e-119,6.46809646447764e-186,2.06272859539538e-270,0,0,1.78232574192448e-271,5.28131445369399e-227,2.54562832468621e-200,1.99593311640438e-191,2.54562832468621e-200,5.2813144536863e-227,1.78232574192254e-271,0,0,0,0,0,0,1.67238088741067e-316,1.08796926517321e-258,1.1513200796011e-218,1.98186264735324e-196,5.54943858115813e-192,1.9959331164044e-191,2.54562832468436e-200,5.2813144536863e-227,1.78232574192254e-271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"z.27",1.72113740570296e-98,3.77869663923414e-85,1.34948024918313e-89,7.83951254131722e-112,1.33127470952542e-75,1.7967851290832e-44,3.94477855527144e-31,1.40879283413947e-35,8.18407612711434e-58,7.73375141101794e-98,1.18879994768279e-155,2.97252398501329e-231,3.70806265219489e-295,2.1541183108175e-317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7292913973702e-304,1.03829929266476e-290,3.70806265219489e-295,2.1541183108175e-317,0,0,0,0,0,0,0,0,0,0,5.75554058260803e-236,2.30181030598281e-160,1.49744527971237e-102,1.58463926677143e-62,2.72777086753635e-40,7.63806559101436e-36,8.07824130105971e-20,1.7735494652602e-06,3.81833036774843e-08,3.81833036774774e-08,1.77354946526004e-06,8.07824130105971e-20,5.9853335646358e-51,7.21369734387062e-100,1.41424944569657e-166,9.30160134625102e-235,8.30613179709733e-315,0,0,1.36123553791507e-311,6.56124487997982e-285,5.14442969297361e-276,6.56124487997982e-285,1.3612355379131e-311,0,0,0,0,0,0,0,0,0,2.96747679315355e-303,5.10816367875407e-281,1.43034335076683e-276,5.14442969297367e-276,6.56124487997505e-285,1.3612355379131e-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"z.28",4.72424665311316e-157,1.03719173680621e-143,3.70410725461042e-148,2.68884529631839e-162,2.23098296285677e-113,3.01109679483659e-82,6.61075710826855e-69,2.36088974624951e-73,1.37150764419042e-95,1.29604111859837e-135,1.99222024616601e-193,9.01198453522371e-204,3.21843648679166e-208,1.86968080613999e-230,1.76680255022693e-270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66551540727463e-297,3.04134362075919e-248,4.1048184503993e-217,9.01198453522412e-204,3.21843648679166e-208,1.86968080613909e-230,1.76680255022649e-270,0,0,0,0,0,0,0,2.89439947153761e-283,8.57656566598783e-239,2.60847102266234e-211,8.77875150865054e-136,5.71102665333831e-78,6.04357114818673e-38,1.04032997664476e-15,2.91304108144826e-11,1.04772096901611e-10,0.0110788575995068,0.000238520206178467,0.000238520206178423,0.0110788575995058,5.0462469066666e-16,3.73886715013951e-47,1.16908037974879e-82,3.94538532684199e-127,2.16587056656317e-189,1.93407626374661e-269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48219693752374e-323,0
"z.29",3.7046932227277e-231,8.13352367087571e-218,2.90471307914647e-222,1.28735122389027e-215,1.06813831001319e-166,1.44163711479198e-135,3.16506358098395e-122,1.13033439773888e-126,6.5664322929649e-149,7.54164415068712e-177,1.01787512087655e-145,2.23470902768819e-132,7.98078274986282e-137,4.63626247919726e-159,4.38115444351085e-199,6.73452752284894e-257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78198143278897e-292,9.08940793201598e-226,7.54164415068401e-177,1.01787512087655e-145,2.2347090276883e-132,7.98078274986282e-137,4.63626247919505e-159,4.38115444350976e-199,6.73452752284894e-257,0,0,0,0,0,3.94005323953837e-274,7.17726556620246e-212,2.12673786172535e-167,1.02510164608811e-140,9.56538152853456e-127,6.22271740855792e-69,6.58505688669776e-29,1.13354040337527e-06,0.0317404077229731,0.11415881079855,1.4561879021174e-10,4.25676344740878e-16,4.256763447408e-16,1.97719416833919e-14,2.93917721746347e-17,3.74864904756636e-26,7.77717399069702e-53,2.62462262464688e-97,1.44082071081472e-159,1.28662219253626e-239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19583674260267e-286,8.2985842089351e-251,5.10159506728301e-233,5.11007165966999e-233,2.3735413090497e-231,1.08111106050968e-244
"z.30",8.30030285013294e-321,1.82222116958851e-307,6.50767106432913e-312,1.76088483921919e-284,1.46103761070549e-235,1.97192257402884e-204,4.32928665580271e-191,1.5461116339421e-195,6.43930219078013e-170,5.34280407093499e-121,7.21103678570095e-90,1.58315776400159e-76,5.65390751847725e-81,3.28451482897689e-103,3.10378603504798e-143,4.77101018637327e-201,1.19296288996149e-276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02663501360616e-321,1.26242732529032e-236,6.43930219078013e-170,5.34280407093718e-121,7.21103678570095e-90,1.58315776400166e-76,5.65390751847725e-81,3.28451482897532e-103,3.1037860350472e-143,4.77101018637327e-201,1.19296288996046e-276,0,0,0,3.09383897473696e-279,2.79330489974808e-218,5.08466362495051e-156,1.50666664700851e-111,7.26223239709238e-85,5.6940481058515e-76,1.93708481607353e-75,2.04987835151854e-35,3.5286254521877e-13,9.88054860864270e-09,3.55367734732507e-08,4.53238720165122e-17,3.11070017719066e-43,1.39834553751602e-30,7.12450822776755e-12,0.00558606367315994,7.12450822776492e-12,1.47809355803664e-38,4.98823582757479e-83,2.73835690636277e-145,2.44529436616653e-225,3.45845952088873e-323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08798105472556e-263,9.49762046480741e-210,3.58937445951879e-174,2.20658543388602e-156,2.21025180196177e-156,1.02662434203449e-154,4.67611381748537e-168
"z.31",0,0,0,0,5.70942260334145e-320,7.70595429435361e-289,1.69182331083075e-275,2.55512566320259e-196,1.30330086739807e-129,1.08137201418465e-80,1.45949828400658e-49,3.20427714979048e-36,1.14433868060588e-40,6.64778713401053e-63,6.28199595522627e-103,9.65642165880708e-161,2.41453114513974e-236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14850365832345e-281,2.55512566320259e-196,1.30330086739807e-129,1.08137201418509e-80,1.45949828400658e-49,3.20427714979063e-36,1.14433868060588e-40,6.64778713400736e-63,6.2819959552247e-103,9.65642165880708e-161,2.41453114513765e-236,0,0,9.55942401369365e-294,3.82309539793199e-218,2.48711900482998e-160,1.02915126438659e-115,3.04946077967501e-71,1.46986016527207e-44,1.15246304886703e-35,1.46986016527153e-44,1.82305307607005e-57,3.13817231161268e-35,8.78723584787453e-31,3.16046366297422e-30,4.03087946859622e-39,2.69296896958724e-33,4.63563061729873e-11,1.29802915347004e-06,0.000303311346388703,3.86845605305885e-13,8.02573284888737e-40,2.70850569111076e-84,1.48686941065936e-146,1.32774270025304e-226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53686422614907e-273,5.05156916205803e-202,1.17363280334902e-148,4.43543477527224e-113,2.72670513440365e-95,2.73123571115053e-95,1.26861250035507e-93,5.77833215038429e-107
"z.32",0,0,0,0,0,0,4.71179523397987e-256,1.47747726784309e-171,7.53621409886856e-105,6.25293147827785e-56,8.43941089916072e-25,1.85284298023549e-11,6.61703027627052e-16,3.84402008613912e-38,3.63250479387209e-78,5.58373456736866e-136,1.39617981644461e-211,4.39080503444703e-298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71179523398437e-256,1.47747726784309e-171,7.53621409886856e-105,6.25293147828041e-56,8.43941089916072e-25,1.85284298023558e-11,6.61703027627052e-16,3.84402008613729e-38,3.63250479387119e-78,5.58373456736866e-136,1.3961798164434e-211,5.6787920668314e-305,0,3.37482937302733e-248,1.34969372907241e-172,8.78044771284452e-115,9.29171998076575e-75,1.76332347675021e-46,8.49932749834141e-20,6.66400866795709e-11,8.49932749833831e-20,1.76428450480277e-46,1.7642861042648e-46,8.49932749834141e-20,6.66400866795709e-11,8.49932749833831e-20,2.55051769887429e-29,4.39041744200868e-07,0.0122936631662377,5.59961895390855e-16,6.00099284067965e-30,1.24500226206003e-56,4.20160473283487e-101,2.30652554042512e-163,2.05967815821067e-243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42209493865157e-316,1.24864356489669e-227,1.78339029250835e-156,4.14335680917272e-103,1.56587212161456e-67,9.62627514585399e-50,9.64226975333265e-50,4.47867018248694e-48,2.03996444140259e-61
"z.33",0,0,0,0,0,0,7.78390663752296e-247,2.44079900353374e-162,1.24498591371145e-95,1.03298705526793e-46,1.39419442595925e-15,0.0306090482628229,1.09313633828368e-06,6.35033824209639e-29,6.00091404056456e-69,9.22435428595559e-127,1.36968406252139e-177,1.65078289740225e-226,3.23636533285487e-293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7839066375304e-247,2.44079900353374e-162,1.24498591371145e-95,1.03298705526835e-46,1.39419442595925e-15,0.0306090482628243,1.09313633828368e-06,6.35033824209336e-29,6.00091404056306e-69,9.22435428595559e-127,2.30649525302267e-202,9.38138969693405e-296,1.38448799035716e-311,3.40388266641072e-218,1.3613129973536e-142,8.85603699314344e-85,9.37171071119943e-45,1.61323021542136e-22,1.4040927199072e-10,0.110089718943935,1.40409267473442e-10,9.70914600096478e-20,9.72527830311722e-20,1.4040927199072e-10,0.110089718943935,1.40409267473442e-10,2.91370569229906e-37,1.18796999996494e-18,3.32644975655951e-14,1.51514600160301e-27,1.12286849877991e-58,5.51770207958997e-89,1.862101289167e-133,1.02222471065819e-195,9.12824884192631e-276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43433749175635e-286,1.25939291065982e-197,1.79874317576801e-126,4.1790262157303e-73,1.57935243043069e-37,9.70914600096654e-20,9.72527830311722e-20,4.51722624100035e-18,2.0575261249299e-31
"z.34",0,0,0,0,0,0,3.67376602885546e-253,1.15198253011164e-168,5.8759530004489e-102,4.87538318303674e-53,6.58017157479505e-22,1.44465352579486e-08,5.15926941509669e-13,2.99716556119685e-35,2.87584173254515e-75,1.98562574316016e-90,1.47119056790086e-121,1.77312147725478e-170,3.47621052347835e-237,1.1116477031428e-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67376602885897e-253,1.15198253011164e-168,5.8759530004489e-102,4.87538318303873e-53,6.58017157479505e-22,1.44465352579493e-08,5.15926941509669e-13,2.99716556119542e-35,2.83224801772775e-75,4.35361329367832e-133,1.08859526467388e-208,4.42772920809576e-302,3.98946463709429e-297,9.80844154737933e-204,3.92268484868492e-128,2.55190703386587e-70,2.7005007433666e-30,4.64859568356146e-08,0.00130165913712609,0.00468165089924517,5.97101327571891e-12,2.79773424522453e-05,2.80238284090758e-05,0.00130165913712609,0.00468165089924517,5.97101327567338e-12,1.23878252022075e-38,9.18349085590891e-46,2.57148083898636e-41,1.17126943033063e-54,8.67817384171249e-86,1.05290497168412e-134,2.35773002394466e-181,1.2943065479618e-243,9.88131291682493e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1331082254788e-272,3.62899751841805e-183,5.18315965246585e-112,1.2042052673096e-58,4.55097531693875e-23,2.79773424522504e-05,2.80238284090758e-05,0.00130165913115507,5.92885440139482e-17
"z.35",0,0,0,0,0,0,4.95368099507416e-275,1.55332536727967e-190,7.9230948508011e-124,6.57393335008799e-75,8.8726583615736e-44,1.94796093681187e-30,6.95672360441366e-35,4.77748772195971e-41,1.33775035313615e-36,6.09324429055434e-50,4.514608837571e-81,5.441137311479e-130,1.06673677040663e-196,3.40191036444859e-281,0,2.25504669649107e-312,1.38630094166302e-294,1.3863009416629e-294,2.25504669649107e-312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95368099507889e-275,1.55332536727967e-190,7.9230948508011e-124,6.57393335009068e-75,8.8726583615736e-44,1.94796093681196e-30,6.95672360441366e-35,4.04135755052698e-57,3.81898386248767e-97,5.87038239871672e-155,1.46785441195413e-230,4.94065645841247e-324,3.28429918686606e-298,8.07473170684476e-205,3.22932318764735e-129,2.10083982656577e-71,2.22316857081605e-31,3.82692426488330e-09,0.000107158188742675,0.000385409396784031,9.45417996361597e-07,2.32356956963806e-06,2.32739649390252e-06,0.000108103606247482,0.000385409396784031,4.91554085149271e-13,1.01980782877651e-39,3.44182660793453e-84,5.67921464435725e-84,2.58679372615656e-97,1.91660817459403e-128,2.30995167587639e-177,5.38154708492433e-244,4.68199113953949e-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4025527781232e-273,2.98754712300453e-184,4.26700035731843e-113,9.91353662712332e-60,3.74655897282395e-24,2.30321537913228e-06,2.30704230339632e-06,0.000107158188251121,4.88088840504944e-18
"z.36",0,0,0,0,0,0,1.90830260598709e-312,5.98386300869284e-228,3.0522075535986e-161,2.53247113733134e-112,3.41800715271717e-81,7.50411448757705e-68,2.43318969048391e-38,4.18845101977887e-16,1.17281344440678e-11,5.34198238652204e-25,3.95798358679412e-56,4.77027643970014e-105,9.35214274504201e-172,2.98247442262944e-256,1.19052932475239e-260,4.49929070908344e-225,2.76596088077685e-207,2.7659608807766e-207,4.49929070908222e-225,1.19052932475239e-260,5.12429544065031e-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90830260599203e-312,5.98386300869284e-228,3.0522075535986e-161,2.53247113733238e-112,3.41800715271717e-81,7.50411448734746e-68,2.67993312380227e-72,1.55684896808524e-94,1.47118412838103e-134,2.26144276160771e-192,5.65460392449605e-268,0,3.59456454565257e-305,8.8375457464876e-212,3.5343950037169e-136,2.29930463913493e-78,2.43318969100679e-38,4.18845102067981e-16,1.17281344465878e-11,6.18366327555769e-16,0.0135758162089104,0.000292278012359475,0.000292278012359422,0.0135758162089091,6.18366327021571e-16,1.15611774924473e-29,2.39855179173055e-56,8.09457690736208e-101,3.58340536434262e-142,1.63218527476633e-155,1.20931932393276e-186,1.45750667038655e-235,2.85744665022955e-302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00268328221836e-290,7.02660472155716e-201,1.00358332850217e-129,2.33162860378316e-76,8.81177363373665e-41,5.41708076607613e-23,5.4260815560204e-23,2.52032252720284e-21,1.14796761691989e-34
"z.37",0,0,0,0,0,0,0,6.58572385167127e-281,3.35920057942245e-214,2.78718873553146e-165,8.85261608680783e-127,5.75907909288887e-69,6.09442160904308e-29,1.04908328780081e-06,0.0293755132488146,1.3380088292694e-15,9.91358001964846e-47,1.19481337311748e-95,2.34243557167564e-162,2.92103290373200e-242,6.78627225042555e-189,2.56469211222504e-153,1.57665696935962e-135,1.57665696935948e-135,2.56469211222434e-153,6.78627225042555e-189,2.92095820155457e-242,2.0451135553393e-313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58572385167127e-281,3.35920057942245e-214,2.7871887355326e-165,3.76179254072692e-134,8.25888321527464e-121,2.94948254474896e-125,1.71343785238301e-147,1.61915678724665e-187,2.48890014906318e-245,6.22522713759971e-321,0,9.00332264397384e-296,2.21354422005689e-202,8.85261571062857e-127,5.75907909289175e-69,6.09442160904308e-29,1.04908328780102e-06,0.0293755132488139,2.67601765854133e-15,0.0293755132488723,1.0490832889998e-06,1.04908328900008e-06,0.0293755132488696,1.33800882927194e-15,9.91358001966321e-47,1.61169388367497e-88,5.43910670195226e-133,2.98586833433181e-195,2.94225139811332e-229,2.17997400577946e-260,2.62736780254204e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38531553966959e-322,4.72148863002721e-233,6.74352331257621e-162,1.56672509390407e-108,5.92102312151141e-73,3.63997780699119e-55,3.64602583858926e-55,1.69351694420525e-53,7.71370564548502e-67
