"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116"
"z.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38698756834791e-289,4.27797674694283e-222,3.54951373638587e-173,4.7906817814376e-142,1.05177733556747e-128,3.75619658415898e-133,2.18208086016637e-155,2.06201294674656e-195,4.43787029975102e-141,2.88706150765705e-83,3.05517075822892e-43,5.25911856685208e-21,1.47261241926884e-16,5.29645630321344e-16,6.75514077857063e-25,1.4014623535016e-51,4.72962261741065e-96,2.59638782258072e-158,2.31851899954597e-238,0,1.12377670830674e-270,9.8671088759809e-182,1.40928177417895e-110,3.27418919998411e-57,1.23739321165784e-21,0.00076069350457229,0.000760693504572013,1.23739321165649e-21,3.27418919998411e-57,1.40928177417536e-110,9.86710887594859e-182,1.12377670830224e-270,0,0,0,0,0,0,0
"z.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36509224664205e-318,7.4162202939093e-234,3.78281447408883e-167,3.13866875213219e-118,4.23617552304988e-87,9.30037436820217e-74,3.32142871422425e-78,1.92951190474993e-100,1.82334147241116e-140,1.05275696997108e-127,6.84872229161744e-70,7.24751309284046e-30,1.24757447901722e-07,0.00349334902495511,0.0125643178207981,1.6024626808438e-11,3.32456597680123e-38,1.12196680828894e-82,6.15918265372299e-145,5.50001886472288e-225,7.90505033345994e-323,4.36638468680203e-278,3.83382150391853e-189,5.47570199015422e-118,1.27217172938603e-64,4.80783658443722e-29,2.95564096066638e-11,2.9556409606653e-11,4.80783658443197e-29,1.27217172938603e-64,5.47570199014028e-118,9.27965513861651e-186,3.13038264544617e-230,1.71846424929018e-292,0,0,0,0,0,0
"z.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97485694007877e-279,1.87353542953437e-194,9.55640024121363e-128,7.92911601280435e-79,1.07017114023411e-47,2.34952309885809e-34,8.39081651590434e-39,4.87446269392269e-61,4.60624780996216e-101,7.13484119847996e-130,4.64157895478217e-72,4.91185111818746e-32,8.45517630845864e-10,2.36754457627615e-05,8.51520483603052e-05,1.08603572148518e-13,2.25315537915628e-40,7.60389646940725e-85,4.1742578202026e-147,3.72752328483939e-227,0,4.84692868628852e-301,4.2557540753612e-212,6.07833229487711e-141,1.41218103564818e-87,5.33696472748571e-52,3.28092506414397e-34,3.28092506414278e-34,5.33696472747989e-52,1.417587921131e-87,6.89598299676431e-99,1.43068233174622e-125,4.82823352168551e-170,2.65052156045875e-232,2.36685927394612e-312,0,0,0,0,0
"z.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72057735412014e-319,2.47032822920623e-323,0,0,0,0,0,0,0,0,4.31230495699277e-255,1.35220913252128e-170,6.89725503798409e-104,5.7227757299468e-55,7.72387415990801e-24,1.69574940578263e-10,6.05600435585896e-15,3.51810425730495e-37,3.32452232132859e-77,5.11031678111379e-135,8.98720388582165e-90,9.51051525482957e-50,1.63712379160106e-27,4.58413096557215e-23,1.64874674623589e-22,2.10282417930577e-31,4.36264619780956e-58,1.47229571150211e-102,8.08235871189803e-165,7.21737410401789e-245,0,0,1.34965828316335e-250,1.92766578715052e-179,4.47855256280756e-126,1.69255049136983e-90,1.04050365947998e-72,1.0405036657839e-72,3.0387130274793e-54,2.38254261393126e-45,3.03871302747709e-54,6.30429779438029e-81,2.12755978501273e-125,1.16795160300628e-187,1.0429558937881e-267,0,0,0,0,0
"z.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83094048658376e-321,6.49807572906768e-272,8.77027540153803e-241,1.92548311803239e-227,6.87644890817901e-232,3.99472370847836e-254,3.77491602439048e-294,0,0,0,0,0,0,8.8918900955883e-247,2.78822929095785e-162,1.42220075738257e-95,1.18002537714478e-46,1.59264803456644e-15,0.0349660274406784,1.24873648055388e-06,7.25426348849692e-29,6.85510125012095e-69,1.05373751681468e-126,4.9714867153123e-123,5.26096684062702e-83,9.05613812799577e-61,2.53582065290518e-56,9.12043325532118e-56,1.16322701584212e-64,2.41330110610026e-91,8.14435255111609e-136,4.47094821237532e-198,3.99246148292086e-278,0,0,1.22285169851517e-304,1.74655274701211e-233,4.05777201284056e-180,1.53352761140635e-144,2.67841546860888e-96,7.93657073710466e-52,3.82547932837403e-25,2.99941700191574e-16,3.82547932837125e-25,7.93657073709311e-52,2.67841546860303e-96,1.4703509918303e-158,1.31299210422707e-238,0,0,0,0,0
"z.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25676882151989e-311,6.41043968520305e-245,5.318856334402e-196,7.17871517951876e-165,1.5760616690443e-151,5.62856534125177e-156,3.26979284128387e-178,3.08987411740209e-218,4.74962536794592e-276,0,0,0,0,0,5.23819151406221e-254,1.64253930875748e-169,8.37815116755706e-103,6.95150170603733e-54,9.38225206325136e-23,2.05984044169757e-09,7.35627719800832e-14,4.27346953659146e-36,4.0383240020293e-76,1.19503900059156e-87,2.62366609448275e-74,5.64857316901976e-76,5.64857316901771e-76,2.62366609448275e-74,1.19503900059156e-87,1.83836082107333e-113,3.8139561533775e-140,1.28712506902213e-184,7.06584039717111e-247,0,0,0,0,4.5209982493515e-303,4.7223802316537e-225,5.28834593527089e-145,9.63333764185882e-83,2.85451105420681e-38,1.37589311457041e-11,0.0107878695619965,1.37589311456941e-11,2.85451105420265e-38,9.63333764183779e-83,5.2883459352555e-145,4.7223802316537e-225,6.91691904177745e-323,0,0,0,0
"z.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93894565578517e-251,1.49907712078012e-184,1.24381106931293e-135,1.67873784181352e-104,3.68560988797137e-91,1.31623631766831e-95,7.64638913828889e-118,7.22565038117415e-158,1.11069678072153e-215,2.77723163363557e-291,0,0,0,0,8.81599479689323e-277,2.76443080800397e-192,1.41006179141183e-125,1.1699534602066e-76,1.57905424325771e-45,3.46675805336359e-32,1.23807809103666e-36,7.19234588848684e-59,3.39139380405126e-79,4.57727162574431e-48,1.00492388648057e-34,2.16353220938364e-36,2.16353220938286e-36,1.00492388648057e-34,4.57727162574431e-48,3.39139380405126e-79,4.08740602542234e-128,8.01337303820873e-195,2.55552988959628e-279,7.35560104844979e-287,9.38138969693705e-296,1.97626258336499e-322,0,0,4.85246549642362e-227,5.43402160038855e-147,9.8987028213417e-85,2.93314297456471e-40,1.41379421768453e-13,0.000110850381082455,1.4137942176835e-13,2.93314297456045e-40,9.8987028213201e-85,5.43402160037273e-147,4.85246549642362e-227,0,0,0,0,0
"z.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26175368585293e-291,1.9634976199628e-206,1.00152731745769e-139,8.30985108374471e-91,1.12155791327884e-59,2.46234095172807e-46,8.79372121754959e-51,5.10852143345555e-73,4.82742758383137e-113,7.42051994447115e-171,1.85545714055471e-246,0,0,0,0,1.55908645800975e-251,2.84005744833971e-189,8.41554161420696e-145,5.6295573273279e-115,7.59258508688666e-84,1.66692535156417e-70,5.95306544442239e-75,3.4583045787405e-97,3.71112424804734e-55,5.0088030767488e-24,1.0996650987877e-10,2.36750354207868e-12,2.36750354207783e-12,1.0996650987877e-10,5.0088030767488e-24,3.71112424804734e-55,4.47275441573295e-104,8.76884983254386e-171,5.09311118716462e-201,1.83180859384701e-200,2.33630265642246e-209,4.84703476462126e-236,1.63576604058256e-280,0,1.42451368513705e-244,1.59523816105215e-164,2.90591198319672e-102,8.61067906780696e-58,4.1504039802933e-31,3.2541784165389e-22,4.15040398029028e-31,8.61067906779443e-58,2.90591198319038e-102,1.59523816104751e-164,1.42451368513705e-244,0,0,0,0,0
"z.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19519142800421e-261,3.74776083829071e-177,1.91163198808327e-110,1.58611521333426e-61,2.1407363994366e-30,4.69991147204994e-17,1.67847231730298e-21,9.75072053829948e-44,9.21419199311804e-84,1.41636708722728e-141,3.54154216322887e-217,1.44047932107522e-310,0,0,1.62242390185347e-281,1.81686743247189e-201,3.30963549694648e-139,9.80697600631003e-95,4.72702697786141e-68,3.70628720452091e-59,4.72702697786141e-68,9.80697600629576e-95,1.39831491965809e-95,1.16020687084534e-46,1.56589953769749e-15,0.0343787735997686,0.000740151418459148,0.00074015141845888,0.0343787735997686,1.56589953769749e-15,1.16020687084534e-46,1.39831491965478e-95,1.29411315746546e-134,3.62366256511982e-130,1.30330086739841e-129,1.66223986984685e-138,3.4485833477691e-165,1.16381990275244e-209,6.38894065682949e-272,1.19474015810234e-277,1.33792683961683e-197,2.43718946224227e-135,7.22177974011561e-91,3.48094536355902e-64,2.72928064955364e-55,3.48094536355649e-64,7.2217797401051e-91,2.43718946223695e-135,1.33792683961293e-197,1.19474015810234e-277,0,0,0,0,0
"z.18",6.37943661479586e-271,1.40058287134203e-257,5.00188054948846e-262,2.9057339165663e-284,4.94065645841247e-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51750878622219e-248,2.04369472704527e-163,1.04243370446196e-96,8.64925868496964e-48,1.16736683056804e-16,0.00256291281846811,9.1528920130561e-08,5.31717390966261e-30,5.02459906137088e-70,7.72360369998169e-128,1.93124144172988e-203,7.8550903323965e-297,0,0,5.40157042439129e-247,6.04893540896948e-167,1.10188398946777e-104,3.26505739270005e-60,1.57377915165984e-33,1.23394208661308e-24,1.57377915165984e-33,3.2650573926953e-60,1.25994739657948e-102,1.03625833658057e-53,1.39860958503406e-22,3.07059815274313e-09,6.6107872396186e-11,6.61078723961621e-11,3.07059815274313e-09,1.39860958503406e-22,1.03625833658057e-53,1.65302896289579e-101,2.63050729735859e-79,7.36571664210688e-75,2.64918289607668e-74,3.37878807766409e-83,7.00983805745599e-110,2.3656638751725e-154,1.29866193873618e-216,1.15967743830898e-296,3.20584018058753e-246,5.8398110228497e-184,1.73042882321175e-139,8.3407808128906e-113,6.53969806969785e-104,8.34078081288453e-113,1.73042882320923e-139,5.83981102283695e-184,3.2058401805782e-246,0,0,0,0,0,0
